judul;platform;url;;;
Video hari pertama | Persiapan Ramadan Ananda Aghni Putri Rahayu;instagran;https://www.instagram.com/p/DU23e_hD7FF/;;; 
Video hari pertama ramadan, Ramadan CERIA (Cerahkan Ramadan dengan Ibadah dan Amal) Bersama Ananda Akhila Zihni Aziza dan Ananda Hilwah Faaizatul Aliah;instagran;https://www.instagram.com/p/DU78K4vjx8d/;;;
Video hari kedua ramadan, Ramadan CERIA (Cerahkan Ramadan dengan Ibadah dan Amal) Bersama Ananda Deila Febriani dan Ananda Shiren Izdihar;instagran;https://www.instagram.com/p/DU-eyteD_1b/;;;
Video hari ketiga ramadan, Ramadan CERIA (Cerahkan Ramadan dengan Ibadah dan Amal) Bersama Ananda Friskia Andara Putri dan Ananda Aqila Laylatul Husna;instagran;https://www.instagram.com/p/DVBEzTJj4V8/;;;
